"","IgG.High.SIV.gp160.Ertl.Ag","IgG.High.SIVcpz.EK505.gp120","IgG.High.SIVsmH4.PR55.Gag","IgG.High.SIVmac239.BK28.PR55","IgG.High.SIVmac239.gp120","IgG.High.SIVmac239.gp130","IgG.High.SIVmac239.gp140","IgG.High.SIVsmE543.3.cv2a","IgG.High.SIVsmE543.3.cv2c","IgG.High.SIVsmE543.gp140","IgG.High.SIVmac1A11.gp140","IgG.Low.SIV.gp160.Ertl.Ag","IgG.Low.SIVcpz.EK505.gp120","IgG.Low.SIVsmH4.PR55.Gag","IgG.Low.SIVmac239.BK28.PR55","IgG.Low.SIVmac239.gp120","IgG.Low.SIVmac239.gp130","IgG.Low.SIVmac239.gp140","IgG.Low.SIVsmE543.3.cv2a","IgG.Low.SIVsmE543.3.cv2c","IgG.Low.SIVsmE543.gp140","aRhIgG.PE.high.3352.FLSC_r2","aRhIgG.PE.high.CCG7V.rhFLSC_r2","aRhIgG.PE.high.SHIV162P3.gp120_r2","aRhIgG.PE.high.SIVcpz.EK505.gp120_r2","aRhIgG.PE.high.SIVmac239.Pol..Ecoli._r2","aRhIgG.PE.high.SIVmac239.gp120_r2","aRhIgG.PE.high.SIVmac239.gp140_r2","aRhIgG.PE.high.SIVsmH4.p55.Gag_r2","aRhIgG.PE.high.mac239.rhFLSC_r2","aRhIgG.PE.low.3352.FLSC_r2","aRhIgG.PE.low.CCG7V.rhFLSC_r2","aRhIgG.PE.low.SHIV162P3.gp120_r2","aRhIgG.PE.low.SIVcpz.EK505.gp120_r2","aRhIgG.PE.low.SIVmac239.Pol..Ecoli._r2","aRhIgG.PE.low.SIVmac239.gp120_r2","aRhIgG.PE.low.SIVmac239.gp140_r2","aRhIgG.PE.low.SIVsmH4.p55.Gag_r2","aRhIgG.PE.low.mac239.rhFLSC_r2"
"p2.1",44780,852,68866.5,46919,22808,35782,46430,24063.5,2415.5,35503,4219,7250,162,28112,16006.5,3088.5,7478,8097.5,4312,425.5,5174.5,59713.5,110420,67009,1303,2360.5,38098.5,59873,3310,101460,8834,58798,10173.5,254,336,4086,9598,361,23645
"p2.3",43036,521.5,67460,41757,19634.5,29714,41408,96917.5,2449,43896,3172,6958.5,155,16527,7839,2610,4881,5491,32331,508,6661.5,90812,138077,62244,1724,3277,61024,74670,4080.5,128524,21741.5,94271,9355,392.5,556,9156.5,15437,443,72643
"p2.7",47930,365,53149.5,27923.5,25610,24064,47616,61287,18554,27679,3249,8007,122.5,16667,7538,3631.5,4305,9233,16503.5,3673.5,3923,37141,108676,5272.5,435,1334.5,45509,56441,3097,108209,5399,61886.5,640,219,321,6128,9400,641,31382
"p2.6",48314,1000.5,33736,21134,29435,23762,48988,71436,2259,49592.5,5886,9719,160,8064.5,4062,5012,3877.5,9827.5,14118,521,10312,36229.5,105016.5,6779,817.5,1343.5,34656,49350.5,4191,81384.5,4196,40053,863,246,314.5,5022,8394.5,583,14952
"p2.5",34922,257,49895,29876,10421,18100.5,31736,15567.5,6234.5,29016.5,658.5,6056,92.5,14032,7010,1599,3214,4727.5,4559,1709,5048,18536,103227,5783,498,875,23461,34702,2258,81305,2829.5,47016,601,185,274,2365,4361,761.5,13645
"p2.8",34224,292,8084,2525,23075.5,17135,31573.5,9785.5,1626.5,22808,2708.5,13236,124.5,3471,627,7572.5,5326,11800,3889,638,12151,48119.5,107992,24646.5,772,2410.5,64205,69164,4595,97630,4916.5,52702,2369.5,206,398,8532,11497,467,19258
"p2.4",82375,993.5,40594.5,20855.5,49534.5,43385,73644.5,41269,9640.5,49778,13803,19930,188,9598.5,3680,9749,8004,18321.5,8257,1760.5,7230.5,39421,120566,31122,1442.5,1136.5,75000.5,84633.5,9139,102178.5,4510,59653,3650,258,246.5,11661,18163.5,624,20397
"p2.2",47581,1306,67111.5,45965,19786,35945,53801,36281.5,2100,35084,1440,8344,205.5,14214.5,8156.5,2830.5,5647,9420,6287,454,4995,56544,108847,3893.5,737.5,893,18083.5,38749,393,90493,8788,39848,572,205.5,229.5,2021,5100,124,18323
"p3.1",49267,448,63054,43559,17577,29086,41780,59915.5,2607,37805,522,7359.5,114,15215,8145.5,2251,5069,6162,13159.5,612,6151,103284,130940.5,87757,795,757.5,42385,53740,495,128523.5,23998,69213,15609.5,219.5,328.5,5144,9094.5,154.5,42925
"p3.3",84130.5,868.5,69785,45919,52626.5,50266.5,67530,60566.5,10575.5,60520,1412,23438,228,20547.5,10217,12008.5,9766,16460,15273,2205.5,12563,84520,128592,54766,1278,1405,82673,78398,973.5,122094,11023,81543,6580,298,304.5,15516,17030,201,51095
